target,bug,identifier
libpng,AAH001,CVE-2018-13785
libpng,AAH002,CVE-2019-7317
libpng,AAH003,CVE-2015-8472
libpng,AAH004,CVE-2015-0973
libpng,AAH005,CVE-2014-9495
libpng,AAH007,(Unspecified)
libpng,AAH008,CVE-2013-6954
LibTIFF,AAH009,CVE-2016-9535
LibTIFF,AAH010,CVE-2016-5314
LibTIFF,AAH011,CVE-2016-10266
LibTIFF,AAH012,CVE-2016-10267
LibTIFF,AAH013,CVE-2016-10269
LibTIFF,AAH014,CVE-2016-10269
LibTIFF,AAH015,CVE-2016-10270
LibTIFF,AAH016,CVE-2015-8784
LibTIFF,AAH017,CVE-2019-7663
LibTIFF,AAH018,CVE-2018-8905
LibTIFF,AAH019,CVE-2018-7456
LibTIFF,AAH020,CVE-2016-3658
LibTIFF,AAH021,CVE-2018-18557
LibTIFF,AAH022,CVE-2017-11613
libxml2,AAH024,CVE-2017-9047
libxml2,AAH025,CVE-2017-0663
libxml2,AAH026,CVE-2017-7375
libxml2,AAH027,CVE-2018-14567
libxml2,AAH028,CVE-2017-5130
libxml2,AAH029,CVE-2017-9048
libxml2,AAH030,CVE-2017-8872
libxml2,AAH031,ISSUE #58 (gitlab)
libxml2,AAH032,CVE-2015-8317
libxml2,AAH033,CVE-2016-4449
libxml2,AAH034,CVE-2016-1834
libxml2,AAH035,CVE-2016-1836
libxml2,AAH036,CVE-2016-1837
libxml2,AAH037,CVE-2016-1838
libxml2,AAH038,CVE-2016-1839
libxml2,AAH039,BUG #758518
libxml2,AAH040,CVE-2016-1840
libxml2,AAH041,CVE-2016-1762
Poppler,AAH042,CVE-2019-14494
Poppler,AAH043,CVE-2019-9959
Poppler,AAH045,CVE-2017-9865
Poppler,AAH046,CVE-2019-10873
Poppler,AAH047,CVE-2019-12293
Poppler,AAH048,CVE-2019-10872
Poppler,AAH049,CVE-2019-9200
Poppler,AAH050,Bug #106061
Poppler,AAH051,ossfuzz/8499
Poppler,AAH052,Bug #101366
Poppler,JCH201,CVE-2019-7310
Poppler,JCH202,CVE-2018-21009
Poppler,JCH203,CVE-2018-20650
Poppler,JCH204,CVE-2018-20481
Poppler,JCH206,CVE-2018-19058
Poppler,JCH207,CVE-2018-13988
Poppler,JCH208,CVE-2019-12360
Poppler,JCH209,CVE-2018-10768
Poppler,JCH210,CVE-2017-9776
Poppler,JCH211,CVE-2017-18267
Poppler,JCH212,CVE-2017-14617
Poppler,JCH214,CVE-2019-12493
OpenSSL,AAH054,CVE-2016-2842
OpenSSL,AAH055,CVE-2016-2108
OpenSSL,AAH056,CVE-2016-6309
OpenSSL,AAH057,CVE-2016-2109
OpenSSL,AAH058,CVE-2016-2176
OpenSSL,AAH059,CVE-2016-6304
OpenSSL,MAE100,CVE-2016-2105
OpenSSL,MAE102,CVE-2016-6303
OpenSSL,MAE103,CVE-2017-3730
OpenSSL,MAE104,CVE-2017-3735
OpenSSL,MAE105,CVE-2016-0797
OpenSSL,MAE106,CVE-2015-1790
OpenSSL,MAE107,CVE-2015-0288
OpenSSL,MAE108,CVE-2015-0208
OpenSSL,MAE109,CVE-2015-0286
OpenSSL,MAE110,CVE-2015-0289
OpenSSL,MAE111,CVE-2015-1788
OpenSSL,MAE112,CVE-2016-7052
OpenSSL,MAE113,CVE-2016-6308
OpenSSL,MAE114,CVE-2016-6305
OpenSSL,MAE115,CVE-2016-6302
SQLite3,JCH214,CVE-2019-9936
SQLite3,JCH215,CVE-2019-20218
SQLite3,JCH216,CVE-2019-19923
SQLite3,JCH217,CVE-2019-19959
SQLite3,JCH218,CVE-2019-19925
SQLite3,JCH219,CVE-2019-19244
SQLite3,JCH220,CVE-2018-8740
SQLite3,JCH221,CVE-2017-15286
SQLite3,JCH222,CVE-2017-2520
SQLite3,JCH223,CVE-2017-2518
SQLite3,JCH225,CVE-2017-10989
SQLite3,JCH226,CVE-2019-19646
SQLite3,JCH227,CVE-2013-7443
SQLite3,JCH228,CVE-2019-19926
SQLite3,JCH229,CVE-2019-19317
SQLite3,JCH230,CVE-2015-3415
SQLite3,JCH231,CVE-2020-9327
SQLite3,JCH232,CVE-2015-3414
SQLite3,JCH233,CVE-2015-3416
SQLite3,JCH234,CVE-2019-19880
PHP,MAE002,CVE-2019-9021
PHP,MAE004,CVE-2019-9641
PHP,MAE006,CVE-2019-11041
PHP,MAE008,CVE-2019-11034
PHP,MAE009,CVE-2019-11039
PHP,MAE010,CVE-2019-11040
PHP,MAE011,CVE-2018-20783
PHP,MAE012,CVE-2019-9022
PHP,MAE014,CVE-2019-9638
PHP,MAE015,CVE-2019-9640
PHP,MAE016,CVE-2018-14883
PHP,MAE017,CVE-2018-7584
PHP,MAE018,CVE-2017-11362
PHP,MAE019,CVE-2014-9912
PHP,MAE020,CVE-2016-10159
PHP,MAE021,CVE-2016-7414
