CVE ID,Vulnerability Type,Ported,Component,Bug ID,Report,Fix,Notes
CVE-2016-2105,Overflow,True,evp,MAE100,SecAdv https://www.openssl.org/news/secadv/20160503.txt,Fix https://git.openssl.org/?p=openssl.git;a=commit;h=5b814481f3573fa9677f3a31ee51322e2a22ee6a,
CVE-2016-2106,Overflow,True,evp,MAE101,SecAdv https://www.openssl.org/news/secadv/20160503.txt,Fix https://git.openssl.org/?p=openssl.git;a=commitdiff;h=3f3582139fbb259a1c3cbb0a25236500a409bf26;hp=05aef4bbdbc18e7b9490512cdee41e8a608bcc0e, Not satisfiable.
CVE-2016-6303,Overflow,True,mdc2,MAE102,SecAdv https://www.openssl.org/news/secadv/20160922.txt,Fix https://git.openssl.org/?p=openssl.git;a=commit;h=55d83bf7c10c7b205fffa23fa7c3977491e56c07,
CVE-2017-3730,Null pointer error,True,ssl/statem,MAE103,SecAdv https://www.openssl.org/news/secadv/20170126.txt,Fix https://github.com/openssl/openssl/commit/efbe126e3ebb9123ac9d058aa2bb044261342aaa, The generate key could be NULL.
CVE-2017-3735,One byte overread ,True,x509,MAE104,SecAdv https://www.openssl.org/news/secadv/20170828.txt,Fix https://github.com/openssl/openssl/commit/068b963bb7afc57f5bdd723de0dd15e7795d5822,
CVE-2016-0797,Pointer deref and heap corruption,True,bn,MAE105,SecAdv https://www.openssl.org/news/secadv/20160301.txt,Fix https://git.openssl.org/?p=openssl.git;a=commit;h=c175308407858afff3fc8c2e5e085d94d12edc7d,
CVE-2016-6306,Out-of-bounds read,False,ssl,,,,File not present anymore.
CVE-2016-2177,Overflow,False,ssl,,,,Code lines arn't present in the current version of openssl.
CVE-2015-1792,Null struct infinit loop,False,cms,,,,Need to discuss this because a lot of the file has changed and the changes concern a lot of code lines that could break everything.
CVE-2015-1790,Null ptr deref + app crash,True,pkcs7,MAE106,SecAdv https://www.openssl.org/news/secadv/20150611.txt,Fix https://github.com/openssl/openssl/commit/59302b600e8d5b77ef144e447bb046fd7ab72686,
CVE-2015-0288,Null ptr deref + app crash,True,X509,MAE107,SecAdv https://www.openssl.org/news/secadv/20150319.txt,Fix https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=28a00bcd8e318da18031b2ac8778c64147cd54f9;hp=437b14b533fe7f7408e3ebca6d5569f1d3347b1a,
CVE-2014-5139,Null ptr deref + app crash,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commit;h=83764a989dcc87fbea337da5f8f86806fe767b7e,,File not present anymore.
CVE-2014-3569,Null ptr deref + deamon crash,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=392fa7a952e97d82eac6958c81ed1e256e6b8ca5;hp=c882abd52269a59ed8e0510e5febf667428ece85,,File not present anymore.
CVE-2015-0208,Null ptr deref + app crash,True,rsa,MAE108,SecAdv https://www.openssl.org/news/secadv/20150319.txt Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=4b22cce3812052fe64fc3f6d58d8cc884e3cb834;hp=b717b083073b6cacc0a5e2397b661678aff7ae7f,,
CVE-2014-3513,Memory consumption with crafted handshake,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=2b0532f3984324ebe1236a63d15893792384328d;hp=7d07c75c5b97a31edfdec8076bd720166fdde789,,The corresponding file doesn't include the changed code lines anymore.
CVE-2014-3512,Application crash by ddos,False,srp,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=4a23b12a031860253b58d503f296377ca076427b;hp=80bd7b41b30af6ee96f519e629463583318de3b0,,The corresponding file doesn't include the changed code lines anymore.
CVE-2014-3511,,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=280b1f1ad12131defcd986676a8fc9717aaa601b;hp=4f2011d981c2489b10e174cbda28a20303f655d1,,The corresponding file doesn't include the changed code lines anymore.
CVE-2014-3510,Application crash by ddos which leads to a null ptr deref,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=17160033765480453be0a41335fa6b833691c049;hp=280b1f1ad12131defcd986676a8fc9717aaa601b,,The corresponding file doesn't include the changed code lines anymore.
CVE-2014-3509,Memory overwrite and client app crash (multithreading + session resumption),False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=fb0bc2b273bcc2d5401dd883fe869af4fc74bb21;hp=0042fb5fd1c9d257d713b15a1f45da05cf5c1c87,,The corresponding file doesn't include the changed code lines anymore.
CVE-2014-3508,Out of bound read possible,False,asn1,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=0042fb5fd1c9d257d713b15a1f45da05cf5c1c87;hp=17160033765480453be0a41335fa6b833691c049,,The file structure changed and it's note sure that implemeting just this commit will be able to trigger the bug.
CVE-2014-3507,Memory consumption,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=d0a4b7d1a2948fce38515b8d862f43e7ba0ebf74;hp=1250f12613b61758675848f6600ebd914ccd7636,,File not present anymore.
CVE-2014-3506,Memory consumption,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=1250f12613b61758675848f6600ebd914ccd7636;hp=11e7982a7cc6cbbcbb13046ceed37639c26a0bc1,,File not present anymore.
CVE-2014-3505,Double free,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=bff1ce4e6a1c57c3d0a5f9e4f85ba6385fccfe8b;hp=a46149c672a45b073a9669a31664308a7025cdb3,,File not present anymore.
CVE-2014-3470,Null ptr deref + app crash,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=8011cd56e39a433b1837465259a9bd24a38727fb;hp=d3152655d5319ce883c8e3ac4b99f8de4c59d846,,File not present anymore.
CVE-2014-0224,Ccs injection,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=8011cd56e39a433b1837465259a9bd24a38727fb;hp=d3152655d5319ce883c8e3ac4b99f8de4c59d846,,File not present anymore.
CVE-2014-0221,Recursion and client crash,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=d3152655d5319ce883c8e3ac4b99f8de4c59d846;hp=006cd7083f76ed5cb0d9a914857e9231ef1bc317,,File not present anymore.
CVE-2014-0198,Null pointer dereference and application crash throught bad buffer pointer managment,False,,,,,Didn't found the git commit
CVE-2014-0195,Buffer overflow and application crash,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=1632ef744872edc2aa2a53d487d3e79c965a4ad3;hp=f1f4fbde2ad48bd6cd61c2d054c4efcd9dcc73e6,,File not present anymore.
CVE-2014-0160,Buffer over-read by sending crafted packets,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=96db9023b881d7cd9f379b0c154650d6c108e9a3;hp=0d7717fc9c83dafab8153cbd5e2180e6e04cc802,,File not present anymore.
CVE-2014-0076,Potential  Flush+Reload side channel attack,False,bn,,,,
CVE-2013-6450,Application crash,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=1632ef744872edc2aa2a53d487d3e79c965a4ad3;hp=f1f4fbde2ad48bd6cd61c2d054c4efcd9dcc73e6,,File not present anymore.
CVE-2013-4353,Null ptr deref and app crash via a crafted next protocol record during tls handshake,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=197e0ea817ad64820789d86711d55ff50d71f631;hp=c776a3f398b1fd0d59e9247c0c4c6b79f5692b33,,File not present anymore.
CVE-2010-5298,Data injction across sessions can cause use after free and parsing error,False,,,,,Didn't found the git commit.
CVE-2014-3570,Attackers could defeat cryptographic protection via inspecified vectors,False,bn,,,,"The file to modifiy is in assembly and there is a lot of changes, also not sure of the trigger condition of the bug."
CVE-2014-3571,Null ptr deref + app crash,False,ssl,,Git https://github.com/openssl/openssl/commit/248385c606620b29ecc96ca9d3603463f879652b,,File not present anymore.
CVE-2014-3572,Ecdhe-to-ecdh downgrade attacks and trigger a loss of forward secrecy by remote ssl server,False,ssl,,Git https://github.com/openssl/openssl/commit/b15f8769644b00ef7283521593360b7b2135cb63,,File not present anymore.
CVE-2014-8176,Memory corruption and app crash remote dtls peers,False,ssl,,Git https://github.com/openssl/openssl/commit/470990fee0182566d439ef7e82d1abf18b7085d7,,File not present anymore.
CVE-2014-8275,Attackers could defeat a fingerprint-based certificat,False,asn1,,,,don't realy know if there is a real trigger condtition.
CVE-2015-0204,Remote ssl server can conduct a rsa-to-export_rsa downgrade attack,False,ssl,,Git https://github.com/openssl/openssl/commit/ce325c60c74b0fa784f5872404b722e120e5cab0,,File not present anymore.
CVE-2015-0205,Remote attacker can access without knowing the private key,False,ssl,,Git https://github.com/openssl/openssl/commit/1421e0c584ae9120ca1b88098f13d6d2e90b83a3,,File not present anymore.
CVE-2015-0206,Memory leak,False,ssl,,Git https://github.com/openssl/openssl/commit/1421e0c584ae9120ca1b88098f13d6d2e90b83a3,,File not present anymore.
CVE-2015-0207,App crash trought a crafted dtls traffic,False,ssl,,Git https://git.openssl.org/?p=openssl.git;a=commitdiff;h=819418110b6fff4a7b96f01a5d68f71df3e3b736;hp=77c77f0a1b9f15b869ca3342186dfbedd1119d0e,,The corresponding file doesn't include the changed code lines anymore.
CVE-2015-0209,Use after free,False,ec,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=1b4a8df38fc9ab3c089ca5765075ee53ec5bd66a;hp=6d4655c27e4bc582836ae37accdb82833d6ddd00,,The corresponding file doesn't include the changed code lines anymore.
CVE-2015-0285,Easier to defeat crpytographic protection via brutforce,False,ssl,,Git https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=e1b568dd2462f7cacf98f3d117936c34e2849a6b;hp=0b142f022e2c5072295e00ebc11c5b707a726d74,,File not present anymore.
