CVE ID,Vulnerability Type,Ported,Component,Bug ID,Report,Fix,Notes
CVE-2019-9020,Out of bound read or read after free,False,ext,MAE001,Secadv  https://security.netapp.com/advisory/ntap-20190321-0001/,Fix https://bugs.php.net/bug.php?id=77242,
CVE-2019-9021,Heap buffer over-read,False,ext,MAE002,"Git https://bugs.php.net/bug.php?id=77247,Trigger https://bugs.php.net/bug.php?id=77247",,
CVE-2019-9023,Heap buffer over-read,False,ext,,"Git http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/mbstring/oniguruma/regparse.c;h=252ca187120238a77055ca51b40f7e5f14250d9c;hp=d2925f1e81b0bb827db02b260cca1058355135d2;hb=20407d06ca3cb5eeb10f876a812b40c381574bcc;hpb=a918020c03880e12ac9f38e11a4a3789491a5f85,Git http://git.php.net/?p=php-src.git;a=commit;h=9d6c59eeea88a3e9d7039cb4fed5126ef704593a,Git http://git.php.net/?p=php-src.git;a=commitdiff;h=28362ed4fae6969b5a8878591a5a06eadf114e03;hp=20407d06ca3cb5eeb10f876a812b40c381574bcc",,ext/mbstring/oniguruma folder not present anymore.
CVE-2019-9025,Buffer overflow,False,ext,MAE003,Trigger https://bugs.php.net/bug.php?id=77381,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/mbstring/php_mbregex.c;h=85219b00e4f0300fce747f42f363608adce01fd4;hp=68922b696653af386a8b5faca06ff99d66e0f75a;hb=e617f03066ce81d26f56c06d6bd7787c7de08703;hpb=e40027ef0f508be87b323f61532cea0104212b53,
CVE-2019-9641,Uninitialized read (only in 32bit builds),False,ext,MAE004,Trigger https://bugs.php.net/bug.php?id=77509,Fix https://bugs.php.net/bug.php?id=77509,
CVE-2019-6977,Heap buffer overflow,False,ext,MAE005,Trigger https://bugs.php.net/bug.php?id=77270,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/gd/libgd/gd_color.c;h=e6f539bc75b5520001fbad71fda977d7c5fdd96c;hp=a4e56b1c40157b7f9334967bcd101f63a47f919b;hb=7a12dad4dd6c370835b13afae214b240082c7538;hpb=1cc2182bcc81e185c14837e659d12b268cb99d63,
CVE-2019-9675,Buffer overflow (practical attack is usally impossible),False,,,,,https://www.php.net/ChangeLog-7.php
CVE-2019-11041,Buffer over-read,False,ext,MAE006,Trigger https://bugs.php.net/bug.php?id=78222,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/exif/exif.c;h=aa272c1d2b2df09593f7d2b98b46f4c64f2f0bfb;hp=e04290376ce57cdcc1c7e1dfad9f323d8cfb98bb;hb=f22101c8308669bb63c03a73a2cac2408d844f38;hpb=d561a998c9313749ad2b488685e5c2bec661bc69,
CVE-2019-11042,Buffer over-read can lead to crash,False,ext,MAE007,Trigger https://bugs.php.net/bug.php?id=78256,Fix https://bugs.php.net/bug.php?id=78256,
CVE-2019-11034,Buffer over-read can lead to crash,False,ext,MAE008,Trigger https://bugs.php.net/bug.php?id=78256,Fix http://git.php.net/?p=php-src.git;a=blobdiff;f=ext/exif/exif.c;h=0b5bb5ae2123989a28b2112ab5506777083ad9d5;hp=fe89b854711879274555bdc762ea6e7fa518fa59;hb=f3aefc6d071b807ddacae0a0bc49f09c38e18490;hpb=0ecac37c40a27ffbd59f34b5920735ee0b7f994c,
CVE-2019-11035,buffer over-read can lead to crash,False,,,,,
CVE-2019-11036,Heap buffer overflow,False,ext,,,,File has changed since then.
