CVE ID,Vulnerability Type,Ported,Component,Bug ID,Report,Fix,Notes
CVE-2019-14494,Divide-by-zero,True,poppler,AAH042,Report https://gitlab.freedesktop.org/poppler/poppler/issues/802,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/b224e2f5739fe61de9fa69955d016725b2a4b78d, pdftoppm.
CVE-2019-9959,Resource exhaustion (memory),True,poppler,AAH043,Report https://gitlab.freedesktop.org/poppler/poppler/issues/805,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/68ef84e5968a4249c2162b839ca6d7975048a557, pdftoppm. Discovered by fuzzing pdftocairo.
CVE-2019-9631,Heap buffer overflow,False,poppler,AAH044,Report https://gitlab.freedesktop.org/poppler/poppler/issues/736,Fix https://gitlab.freedesktop.org/poppler/poppler/merge_requests/206/diffs,Might not be reproducible since it needs a specific version of cairo.
CVE-2018-20662,Sigabrt,False,pdfunite,,Report https://gitlab.freedesktop.org/poppler/poppler/issues/706,Fix https://gitlab.freedesktop.org/mkasik/poppler/commit/7b4e372deeb716eb3fe3a54b31ed41af759224f9,Not a core bug.
CVE-2018-18897,Memory leak,False,poppler,,Report https://gitlab.freedesktop.org/poppler/poppler/issues/654,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/e07c8b4784234383cb5ddcf1133ea91a772506e2,"Memory is not ""leaked"" uncontrollably. A single object is left to be released by the OS. Also, could be app-specific."
CVE-2017-9865,Stack buffer overflow,True,poppler,AAH045,Report https://bugs.freedesktop.org/show_bug.cgi?id=100774,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/75fff6556eaf0ef3a6fcdef2c2229d0b6d1c58d9, pdfimages.
CVE-2019-10873,0-pointer dereference,True,poppler,AAH046,Report https://gitlab.freedesktop.org/poppler/poppler/issues/748,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/8dbe2e6c480405dab9347075cf4be626f90f1d05,pdftoppm. Discovered by fuzz project pwd-poppler-pdftoppm-03
CVE-2019-10871,Heap buffer overread,False,poppler,,Report https://gitlab.freedesktop.org/poppler/poppler/issues/751,,Bug report still not resolved.
CVE-2019-12293,Heap buffer overread,True,poppler,AAH047,Report https://gitlab.freedesktop.org/poppler/poppler/issues/768,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/89a5367d49b2556a2635dbb6d48d6a6b182a2c6c, pdftoppm. Discovered by fuzzing pdftotext.
CVE-2019-10872,Heap buffer overflow,True,poppler,AAH048,Report https://gitlab.freedesktop.org/poppler/poppler/issues/750.,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/6a1580e84f492b5671d23be98192267bb73de250,pdftoppm -mono. Discovered by fuzz project pwd-poppler-pdftoppm-00
CVE-2019-9903,Stack overflow - recursion,False,poppler,,Report https://gitlab.freedesktop.org/poppler/poppler/issues/741,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/fada09a2ccc11a3a1d308e810f1336d8df6011fd,I don't like this.
CVE-2019-11026,Stack overflow,False,poppler,,Report https://gitlab.freedesktop.org/poppler/poppler/issues/752,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/8051f678b3b43326e5fdfd7c03f39de21059f426,I don't like this.
CVE-2019-9200,Heap buffer underwrite,True,poppler,AAH049,Report https://gitlab.freedesktop.org/poppler/poppler/issues/728,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/f4136a6353162db249f63ddb0f20611622ab61b4,pdfimages.
CVE-2018-20551,Sigabrt,False,poppler,,Report https://gitlab.freedesktop.org/poppler/poppler/issues/703,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/7f87dc10b6adccd6d1b977a28b064add254aa2da,I don't like this.
Bug #106061,Divide-by-zero,True,poppler,AAH050,Report https://bugs.freedesktop.org/show_bug.cgi?id=106061,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/88c99f1f6f4faf31faabccd35d9d094958020ebc,pdfimages or pdftoppm
ossfuzz/8499,Integer overflow,True,poppler,AAH051,Report https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=8499,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/b245154fdebc9a78db163bc95959c6c8f5b4126f,pdfimages or pdftoppm
Bug #101366,0-pointer dereference,True,poppler,AAH052,Report https://bugs.freedesktop.org/show_bug.cgi?id=101366,Fix https://gitlab.freedesktop.org/poppler/poppler/commit/e1b5053e54b0ef7d6b09f3b9c97883db533d509a,pdftoppm. Discovered by OSS-Fuzz
