CVE ID,Vulnerability Type,Ported,Component,Bug ID,Report,Fix,Notes
CVE-2019-9936,Heap buffer overflow,False,sqlite3,JCH214,Report https://sqlite.org/src/info/b3fa58dd7403dbd4,Fix https://sqlite.org/src/info/b3fa58dd7403dbd4,
CVE-2019-20218,Stack unwinding,False,sqlite3,JCH215,Report https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-20218,Fix https://github.com/sqlite/sqlite/commit/a6c1a71cde082e09750465d5675699062922e387,
CVE-2019-19923,Mishandles can cause 0-pointer dereference,False,sqlite3,JCH216,Report https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-19923,Fix https://github.com/sqlite/sqlite/commit/396afe6f6aa90a31303c183e11b2b2d4b7956b35,
CVE-2019-19959,Embedded \0 can lead to memory error,False,sqlite3,JCH217,Report https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-19959,Fix https://github.com/sqlite/sqlite/commit/d8f2d46cbc9925e034a68aaaf60aad788d9373c1,
CVE-2019-19925,Null pointer,False,sqlite3,JCH218,Report https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-19925,Fix https://github.com/sqlite/sqlite/commit/54d501092d88c0cf89bec4279951f548fb0b8618,
CVE-2019-19244,Improper input validation,False,sqlite3,JCH219,Report https://github.com/sqlite/sqlite/commit/e59c562b3f6894f84c715772c4b116d7b5c01348,Fix https://github.com/sqlite/sqlite/commit/e59c562b3f6894f84c715772c4b116d7b5c01348,
CVE-2018-8740,0-pointer dereference,False,sqlite3,JCH220,Report https://bugs.launchpad.net/ubuntu/+source/sqlite3/+bug/1756349,Fix https://www.sqlite.org/cgi/src/vdiff?from=1774f1c3baf0bc3d&to=d75e67654aa9620b,
CVE-2017-15286,0-pointer dereference,False,sqlite3,JCH221,Report https://github.com/Ha0Team/crash-of-sqlite3/blob/master/poc.md,Fix https://www.sqlite.org/src/info/5d0ceb8dcdef92cd,
CVE-2017-2520,Heap buffer overflow,False,sqlite3,JCH222,Report https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=384.,Fix https://www.sqlite.org/src/info/2dc7eeb5b4d2eaf1, Only for certain Apple products. iOS before 10.3.2 is affected. macOS before 10.12.5 is affected. tvOS before 10.2.1 is affected. watchOS before 3.2.2 is affected
CVE-2017-2518,Use after free,False,sqlite3,JCH223,Report https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=199,Fix https://www.sqlite.org/src/info/0a98c8d76ac86412, Only for certain Apple products. iOS before 10.3.2 is affected. macOS before 10.12.5 is affected. tvOS before 10.2.1 is affected. watchOS before 3.2.2 is affected.
CVE-2017-2513,Use after free,False,sqlite3,JCH224,Report https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=171,Fix https://www.sqlite.org/src/info/c5dbc599b910c02a, Only for certain Apple products. iOS before 10.3.2 is affected. macOS before 10.12.5 is affected. tvOS before 10.2.1 is affected. watchOS before 3.2.2 is affected.
CVE-2017-2519,Unknown read,False,sqlite3,,Report https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=288,,The report isn't explicit enough. Code disappeared.
CVE-2017-10989,Heap buffer overflow,False,sqlite3,JCH225,Report https://bugs.launchpad.net/ubuntu/+source/sqlite3/+bug/1700937,Fix https://sqlite.org/src/info/66de6f4a,
CVE-2019-19646,Mishandles not null,False,sqlite3,JCH226,Report https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-19646,"Fix https://github.com/sqlite/sqlite/commit/926f796e8feec15f3836aa0a060ed906f8ae04d3,Fix https://github.com/sqlite/sqlite/commit/ebd70eedd5d6e6a890a670b5ee874a5eae86b4dd", 2 fixes.
CVE-2013-7443,Buffer overflow,False,sqlite3,JCH227,Report https://www.openwall.com/lists/oss-security/2015/07/14/5,Fix https://www.sqlite.org/src/info/ac5852d6403c9c96,
CVE-2019-19926,Mishandles certain errors during parsing,False,sqlite3,JCH228,Report https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-19926,Fix https://github.com/sqlite/sqlite/commit/8428b3b437569338a9d1e10c4cd8154acbe33089,
CVE-2019-19317,Omits bits,False,sqlite3,JCH229,Report https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-19317,Fix https://github.com/sqlite/sqlite/commit/522ebfa7cee96fb325a22ea3a2464a63485886a8,
CVE-2015-3415,Does not properly implement comparison operators,False,sqlite3,JCH230,Report https://seclists.org/bugtraq/2015/Apr/97,Fix https://www.sqlite.org/src/info/02e3c88fbf6abdcf,
CVE-2020-9327,0-pointer dereference,False,sqlite3,JCH231,Report https://security-tracker.debian.org/tracker/CVE-2020-9327,"Fix https://www.sqlite.org/cgi/src/info/9d0d4ab95dc0c56e,Fix https://www.sqlite.org/cgi/src/info/abc473fb8fb99900",
CVE-2015-3414,Does not properly implement the dequoting of collation-sequence names,False,sqlite3,JCH232,Report https://seclists.org/bugtraq/2015/Apr/97,Fix https://www.sqlite.org/src/info/eddc05e7bb31fae7,
CVE-2015-3416,Stack buffer overflow,False,sqlite3,JCH233,Report https://seclists.org/bugtraq/2015/Apr/97,Fix https://www.sqlite.org/src/info/c494171f77dc2e5e,
CVE-2019-19880,Invalid pointer dereference,False,sqlite3,JCH234,Report https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-19880,Fix https://github.com/sqlite/sqlite/commit/75e95e1fcd52d3ec8282edb75ac8cd0814095d54,  
